code,state,median aqi
AL,Alabama,41.0
AK,Alaska,39.0
AZ,Arizona,47.61538461538461
AR,Arkansas,32.18181818181818
CA,California,34.75
CO,Colorado,31.791666666666668
CT,Connecticut,33.0
FL,Florida,34.5
GA,Georgia,32.86363636363637
HI,Hawaii,8.0
ID,Idaho,29.0
IL,Illinois,33.03703703703704
IN,Indiana,34.794117647058826
IA,Iowa,39.25
KY,Kentucky,31.0
LA,Louisiana,32.2
ME,Maine,37.7
MD,Maryland,31.5
MA,Massachusetts,32.76923076923077
MI,Michigan,26.076923076923077
MN,Minnesota,31.0
MS,Mississippi,37.0
MO,Missouri,29.466666666666665
MT,Montana,32.666666666666664
NE,Nebraska,26.125
NV,Nevada,44.0
NH,New Hampshire,35.0
NJ,New Jersey,32.0
NM,New Mexico,34.5
NY,New York,35.5
NC,North Carolina,30.97222222222222
ND,North Dakota,30.22222222222222
OH,Ohio,27.727272727272727
OK,Oklahoma,39.5
OR,Oregon,25.0
PA,Pennsylvania,33.47222222222222
RI,Rhode Island,30.666666666666668
SC,South Carolina,34.42857142857143
TN,Tennessee,34.166666666666664
TX,Texas,28.620689655172413
UT,Utah,39.714285714285715
VA,Virginia,11.818181818181818
WA,Washington,32.333333333333336
WV,West Virginia,26.153846153846153
WI,Wisconsin,35.666666666666664
WY,Wyoming,33.6
