FIPS,Median AQI
18051,1
18055,33
18057,38
18063,32
18065,33
18067,39
18083,30
18089,49
18091,35
18095,41
18097,45
18105,31
18123,31
18127,38
18129,28
18141,42
18145,32
18147,30
18157,44
18163,41
18167,38
18169,31
18173,31
18183,37
19013,41
19017,37
19033,16
19045,51
19085,39
19103,47
19113,47
19137,37
19139,41
19147,39
19153,39
19155,35
19163,50
19177,39
19193,37
21061,30
21175,31
21221,31
21229,32
23001,34
23003,34
23005,38
23009,39
23011,38
23013,41
23017,37
23019,38
23029,37
23031,41
24003,4
24005,38
24015,37
24019,37
24023,37
24025,38
24027,24
24029,19
24031,39
24033,38
24043,40
25001,33
25003,31
25005,32
25007,32
25009,32
25011,35
25013,36
25015,32
25017,33
25021,31
25023,31
25025,33
25027,35
26005,26
26017,23
26027,37
26049,30
26081,5
26091,40
26113,32
26115,16
26153,22
26157,33
26161,33
26163,9
26165,33
28011,35
28033,36
28035,40
28045,36
28047,38
28049,44
28059,37
28075,33
28081,40
28161,31
29021,32
29037,27
29039,30
29047,30
29071,1
29077,16
29093,4
29095,43
29097,10
29099,25
29137,28
29143,117
30013,12
30027,35
30029,34
30031,20
30049,39
30053,68
30063,65
30071,26
30075,32
30081,18
30083,30
30087,30
30089,39
30093,20
30111,22
31025,13
31055,36
31079,26
31107,32
31109,27
31153,31
31157,15
31177,29
32003,48
32033,40
33009,35
34021,32
35015,40
35029,15
35045,37
36001,39
36005,40
36013,37
36027,35
36029,37
36031,42
36041,37
36045,37
36047,31
36055,38
36059,26
36061,37
36063,36
36065,27
36067,38
36071,37
36075,37
36079,36
36081,40
36085,36
36087,35
36089,17
36091,36
36101,38
36103,39
36109,36
36117,35
36119,35
37003,43
37011,38
37013,0
37019,0
37021,26
37027,42
37031,33
37033,39
37035,26
37051,32
37057,35
37063,34
37065,26
37067,30
37075,44
37077,38
37081,28
37087,23
37101,30
37107,28
37109,41
37113,33
37117,40
37119,38
37121,19
37123,34
37129,30
37131,12
37145,42
37147,28
37157,1
37159,35
37173,43
37179,41
37183,37
37199,46
38007,31
38013,31
38015,30
38017,31
38025,30
38053,29
38057,30
38065,30
38101,30
39003,36
39007,7
39009,21
39013,17
39017,48
39023,44
39025,34
39029,0
39035,56
39047,31
39049,46
39053,3
39059,3
39061,50
39063,1
39067,5
39081,39
39085,26
39087,35
39093,35
39095,29
39099,32
39103,36
39113,42
39115,3
39121,31
39135,39
39145,12
39151,45
39153,33
39155,35
39165,37
39167,4
40001,37
40017,35
40019,38
40027,51
40031,43
40037,36
40043,39
40047,0
40071,48
40075,43
40085,44
40097,39
40109,49
40113,36
40121,45
40135,34
40143,49
40147,45
41039,25
42001,36
42003,44
42005,36
42007,35
42011,33
42013,33
42015,38
42017,32
42021,36
42027,34
42029,32
42033,32
42043,32
42045,32
42047,35
42049,33
42051,30
42055,33
42059,32
42063,33
42069,33
42071,35
42073,26
42075,35
42077,31
42079,34
42081,32
42085,34
42089,34
42091,33
42095,34
42111,31
42117,37
42125,34
42129,26
42133,35
44003,25
44007,40
44009,27
45003,33
45007,41
45015,36
45019,38
45025,34
45031,33
45037,35
45041,27
45045,38
45051,38
45063,28
45079,35
45083,36
45091,30
47009,34
47025,30
47041,31
47065,29
47093,43
47155,38
48027,33
48041,27
48043,38
48085,30
48113,32
48121,34
48135,25
48139,34
48141,42
48161,0
48221,30
48227,49
48231,29
48233,0
48245,36
48251,31
48257,26
48303,13
48309,33
48349,31
48361,32
48367,31
48373,30
48375,23
48381,35
48395,0
48397,27
48439,40
48453,39
49003,38
49005,40
49007,40
49011,39
49013,45
49017,43
49021,36
49035,44
49037,39
49045,32
49047,44
49049,40
49053,41
49057,35
51035,6
51059,2
51071,31
51113,34
51143,4
51147,31
51179,6
53001,14
53003,62
53005,29
53007,41
53009,40
53011,33
53013,35
53015,23
53021,21
53023,15
53025,24
53027,23
53031,17
53033,39
53035,23
53037,38
53041,23
53045,25
53047,65
53051,38
53053,40
53057,20
53061,49
53063,40
53065,56
53067,19
53071,25
53073,16
53075,15
53077,62
54003,41
54009,15
54011,37
54021,29
54025,40
54029,10
54039,38
54051,52
54053,1
54061,3
54069,39
54093,31
54107,4
55025,43
55027,36
55079,42
55081,18
55119,31
55133,44
56001,43
56005,34
56035,43
56037,10
